BUSINESS NAME,ADDRESS,CITY,ZIP CODE,NAICS CODE,PHONE NUMBER,WEBSITE,ABC LICENSE,ADDRESS AUTHORITY,ADDRESS ID,GEOMETRY
BURLINGTON COAT FACTORY WH #231,9632 AIRLINE HWY,BATON ROUGE,70815,,,,NO,BATON ROUGE,127301,POINT (-91.08519374418 30.431927064569)
ASPEN HEIGHT,5689 RIVER RD,BATON ROUGE,70820,238910,,,NO,BATON ROUGE,96373,POINT (-91.205656364697 30.392897955691)
JOHNNY DUNAWAY & J KENDRICK TALBOT,301 S T.J. JEMISON BLVD,BATON ROUGE,70802,531320,,,NO,BATON ROUGE,66966,POINT (-91.180172986572 30.444927722504)
FROGGS,11233 BRUNSWICK AVE,BATON ROUGE,70817,815000,,,NO,PARISH,9943,POINT (-90.992831946224 30.350782650718)
AZTECAS MEXICAN CUISINE,453 LAFAYETTE ST,BATON ROUGE,70801,722000,,,YES,BATON ROUGE,142535,POINT (-91.189685112029 30.45121833037)
SENTINEL CUSTOM LLC,2267 OAK GROVE DR,BATON ROUGE,70815,811000,,,NO,BATON ROUGE,56957,POINT (-91.053688824014 30.469750468604)
FRONT TO BACK BOAT SERVICE LLC,2221 N AIRWAY DR,BATON ROUGE,70815,815000,,,NO,BATON ROUGE,55782,POINT (-91.098976652222 30.468844744922)
PRAXAIR,12232 STE 19 INDUSTRIPLEX BLVD,BATON ROUGE,70809,446199,,,NO,PARISH,16187,POINT (-91.04508582508 30.383258015463)
CTS SERVICES,11913 N MILSTEAD PL,CENTRAL,70818,484000,,,NO,CENTRAL,205829,POINT (-91.054752662626 30.556007458101)
FAMILY DOLLAR STORES INC #925,T 5910 PLANK RD,BATON ROUGE,70805,453000,225-355-3754,http://familydollar.com,NO,BATON ROUGE,98210,POINT (-91.15022036607 30.503549303186)
"RHINO LININGS OF BATON ROUGE, LLC",150 SHELBY DR,BATON ROUGE,70815,441310,,,NO,BATON ROUGE,30377,POINT (-91.039995664134 30.460678015833)
THE COUNTRY STORE,8326 KELWOOD AVE,BATON ROUGE,70806,453000,,,NO,BATON ROUGE,117145,POINT (-91.099315914114 30.447385564329)
RECREATION AREA,5216 HEATHERSTONE DR,BATON ROUGE,70820,924120,,,NO,BATON ROUGE,90930,POINT (-91.184615527754 30.387903707764)
SOUTHSIDE GARDENS ASSISTED LIVING,4524 PERKINS RD,BATON ROUGE,70808,623312,,,NO,BATON ROUGE,84351,POINT (-91.143203991979 30.416132811678)
JAM BOUTIQUE,5842 N SUNSET HILL AVE,BATON ROUGE,70805,454000,,,NO,BATON ROUGE,97921,POINT (-91.132109583751 30.500060488531)
UPLYFTED APPAREL AND ACCESSORIES LLC,12716 DRIFTWOOD DR,BAKER,70714,454000,,,NO,BAKER,188339,POINT (-91.151476954774 30.562541576085)
ONLINE AFFILIATE SITE,6139 CASPER ST,BATON ROUGE,70805,454000,,,NO,BATON ROUGE,100759,POINT (-91.166415630956 30.505501484491)
SCENIC BARBER SHOP,7504 STE B SCENIC HWY,BATON ROUGE,70807,812000,,,NO,BATON ROUGE,243548,POINT (-91.176249882774 30.516409967515)
CENTER FOR INNOVATIONS IN EVALVATIVE MEDICINE LLC,14635 STE 3 S HARRELL'S FERRY RD,BATON ROUGE,70816,815000,,,NO,BATON ROUGE,29153,POINT (-91.022819578878 30.430376830847)
ALWAYS LEARNING DAYCARE & LEARNING CENTER,3321 JO ANNE DR,BATON ROUGE,70814,624000,,,NO,BATON ROUGE,71415,POINT (-91.073310140333 30.479315539726)
